GEO,i,REF_DATE,t,Ei,Y,Products and product groups,i2,D,GPR,StringencyIndex_Average,EconomicSupportIndex,interest,avg_earn,log_avg_earn,unemp,WTI_Oil,CADUSD
Newfoundland and Labrador,5,2023-02-01,18,13.0,141.3,Non-alcoholic beverages,5,1,122.09016418457031,0.0,0.0,4.75,1150.63,7.048064897442322,11.4,76.84,0.7445174
Prince Edward Island,8,2023-02-01,18,,142.6,Non-alcoholic beverages,8,0,122.09016418457031,0.0,0.0,4.75,1015.39,6.923028054129167,8.9,76.84,0.7445174
Nova Scotia,6,2023-02-01,18,,177.2,Non-alcoholic beverages,6,0,122.09016418457031,0.0,0.0,4.75,1041.98,6.948878028271142,6.2,76.84,0.7445174
New Brunswick,4,2023-02-01,18,,164.5,Non-alcoholic beverages,4,0,122.09016418457031,0.0,0.0,4.75,1089.21,6.993207941807771,6.8,76.84,0.7445174
Quebec,9,2023-02-01,18,,164.2,Non-alcoholic beverages,9,0,122.09016418457031,0.0,0.0,4.75,1120.24,7.021298227047522,4.5,76.84,0.7445174
Ontario,7,2023-02-01,18,,156.8,Non-alcoholic beverages,7,0,122.09016418457031,0.0,0.0,4.75,1209.72,7.09814420685385,5.1,76.84,0.7445174
Manitoba,3,2023-02-01,18,,150.3,Non-alcoholic beverages,3,0,122.09016418457031,0.0,0.0,4.75,1078.71,6.983521161756509,4.6,76.84,0.7445174
Saskatchewan,10,2023-02-01,18,,167.5,Non-alcoholic beverages,10,0,122.09016418457031,0.0,0.0,4.75,1150.88,7.048282146119046,4.7,76.84,0.7445174
Alberta,1,2023-02-01,18,,172.9,Non-alcoholic beverages,1,0,122.09016418457031,0.0,0.0,4.75,1255.96,7.135655499387255,6.4,76.84,0.7445174
British Columbia,2,2023-02-01,18,,165.8,Non-alcoholic beverages,2,0,122.09016418457031,0.0,0.0,4.75,1175.83,7.069729560185953,5.2,76.84,0.7445174
Newfoundland and Labrador,5,2023-03-01,19,13.0,142.9,Non-alcoholic beverages,5,1,105.55790710449219,0.0,0.0,4.75,1169.24,7.06410924407851,12.0,73.37,0.7309199565217391
Prince Edward Island,8,2023-03-01,19,,147.7,Non-alcoholic beverages,8,0,105.55790710449219,0.0,0.0,4.75,1011.51,6.919199542866395,8.4,73.37,0.7309199565217391
Nova Scotia,6,2023-03-01,19,,184.3,Non-alcoholic beverages,6,0,105.55790710449219,0.0,0.0,4.75,1044.2,6.951006320976452,6.3,73.37,0.7309199565217391
New Brunswick,4,2023-03-01,19,,167.5,Non-alcoholic beverages,4,0,105.55790710449219,0.0,0.0,4.75,1096.43,6.999814726330832,6.6,73.37,0.7309199565217391
Quebec,9,2023-03-01,19,,167.2,Non-alcoholic beverages,9,0,105.55790710449219,0.0,0.0,4.75,1124.6,7.025182695858101,4.6,73.37,0.7309199565217391
Ontario,7,2023-03-01,19,,162.0,Non-alcoholic beverages,7,0,105.55790710449219,0.0,0.0,4.75,1220.39,7.1069257587742,5.4,73.37,0.7309199565217391
Manitoba,3,2023-03-01,19,,160.4,Non-alcoholic beverages,3,0,105.55790710449219,0.0,0.0,4.75,1090.74,6.9946116439580255,4.8,73.37,0.7309199565217391
Saskatchewan,10,2023-03-01,19,,176.6,Non-alcoholic beverages,10,0,105.55790710449219,0.0,0.0,4.75,1180.34,7.0735578115498425,5.2,73.37,0.7309199565217391
Alberta,1,2023-03-01,19,,184.7,Non-alcoholic beverages,1,0,105.55790710449219,0.0,0.0,4.75,1269.94,7.146724934242111,6.2,73.37,0.7309199565217391
British Columbia,2,2023-03-01,19,,169.9,Non-alcoholic beverages,2,0,105.55790710449219,0.0,0.0,4.75,1191.2,7.0827164813698,4.8,73.37,0.7309199565217391
Newfoundland and Labrador,5,2023-04-01,20,13.0,148.0,Non-alcoholic beverages,5,1,106.7957992553711,0.0,0.0,4.75,1178.43,7.071938323072837,11.6,79.44,0.7418908
Prince Edward Island,8,2023-04-01,20,,150.6,Non-alcoholic beverages,8,0,106.7957992553711,0.0,0.0,4.75,1001.76,6.909513731997,8.9,79.44,0.7418908
Nova Scotia,6,2023-04-01,20,,187.6,Non-alcoholic beverages,6,0,106.7957992553711,0.0,0.0,4.75,1061.66,6.967588999883588,6.7,79.44,0.7418908
New Brunswick,4,2023-04-01,20,,173.4,Non-alcoholic beverages,4,0,106.7957992553711,0.0,0.0,4.75,1096.01,6.999431591553928,7.1,79.44,0.7418908
Quebec,9,2023-04-01,20,,166.4,Non-alcoholic beverages,9,0,106.7957992553711,0.0,0.0,4.75,1136.85,7.036016558926148,4.4,79.44,0.7418908
Ontario,7,2023-04-01,20,,163.3,Non-alcoholic beverages,7,0,106.7957992553711,0.0,0.0,4.75,1230.47,7.1151514892007075,4.9,79.44,0.7418908
Manitoba,3,2023-04-01,20,,159.5,Non-alcoholic beverages,3,0,106.7957992553711,0.0,0.0,4.75,1096.75,7.000106540046323,5.1,79.44,0.7418908
Saskatchewan,10,2023-04-01,20,,178.9,Non-alcoholic beverages,10,0,106.7957992553711,0.0,0.0,4.75,1162.71,7.058508766308429,5.5,79.44,0.7418908
Alberta,1,2023-04-01,20,,183.2,Non-alcoholic beverages,1,0,106.7957992553711,0.0,0.0,4.75,1288.77,7.161443554124428,6.3,79.44,0.7418908
British Columbia,2,2023-04-01,20,,170.4,Non-alcoholic beverages,2,0,106.7957992553711,0.0,0.0,4.75,1203.43,7.092931091842314,5.1,79.44,0.7418908
Newfoundland and Labrador,5,2023-05-01,21,13.0,142.8,Non-alcoholic beverages,5,1,107.84212493896484,0.0,0.0,4.75,1195.27,7.086127380267286,10.2,71.59,0.7398868695652174
Prince Edward Island,8,2023-05-01,21,,147.1,Non-alcoholic beverages,8,0,107.84212493896484,0.0,0.0,4.75,997.45,6.90520202219442,6.0,71.59,0.7398868695652174
Nova Scotia,6,2023-05-01,21,,181.5,Non-alcoholic beverages,6,0,107.84212493896484,0.0,0.0,4.75,1063.12,6.968963260023252,5.4,71.59,0.7398868695652174
New Brunswick,4,2023-05-01,21,,166.6,Non-alcoholic beverages,4,0,107.84212493896484,0.0,0.0,4.75,1098.23,7.001455071900177,6.0,71.59,0.7398868695652174
Quebec,9,2023-05-01,21,,168.3,Non-alcoholic beverages,9,0,107.84212493896484,0.0,0.0,4.75,1149.42,7.0470127463050645,3.7,71.59,0.7398868695652174
Ontario,7,2023-05-01,21,,158.5,Non-alcoholic beverages,7,0,107.84212493896484,0.0,0.0,4.75,1230.65,7.115297764067695,5.9,71.59,0.7398868695652174
Manitoba,3,2023-05-01,21,,157.3,Non-alcoholic beverages,3,0,107.84212493896484,0.0,0.0,4.75,1098.18,7.001409543059926,4.8,71.59,0.7398868695652174
Saskatchewan,10,2023-05-01,21,,178.9,Non-alcoholic beverages,10,0,107.84212493896484,0.0,0.0,4.75,1160.38,7.056502816662661,4.1,71.59,0.7398868695652174
Alberta,1,2023-05-01,21,,184.0,Non-alcoholic beverages,1,0,107.84212493896484,0.0,0.0,4.75,1287.39,7.160372191994748,5.4,71.59,0.7398868695652174
British Columbia,2,2023-05-01,21,,168.5,Non-alcoholic beverages,2,0,107.84212493896484,0.0,0.0,4.75,1207.06,7.095942929886884,5.2,71.59,0.7398868695652174
Newfoundland and Labrador,5,2023-06-01,22,13.0,139.8,Non-alcoholic beverages,5,1,111.37872314453125,0.0,0.0,5.0,1205.6,7.094732647312286,8.1,70.23,0.7521027272727273
Prince Edward Island,8,2023-06-01,22,,141.7,Non-alcoholic beverages,8,0,111.37872314453125,0.0,0.0,5.0,999.88,6.907635271781561,6.2,70.23,0.7521027272727273
Nova Scotia,6,2023-06-01,22,,178.0,Non-alcoholic beverages,6,0,111.37872314453125,0.0,0.0,5.0,1070.35,6.975740976773231,6.0,70.23,0.7521027272727273
New Brunswick,4,2023-06-01,22,,167.9,Non-alcoholic beverages,4,0,111.37872314453125,0.0,0.0,5.0,1091.82,6.995601307553207,5.3,70.23,0.7521027272727273
Quebec,9,2023-06-01,22,,164.9,Non-alcoholic beverages,9,0,111.37872314453125,0.0,0.0,5.0,1157.72,7.054207832695181,3.9,70.23,0.7521027272727273
Ontario,7,2023-06-01,22,,155.7,Non-alcoholic beverages,7,0,111.37872314453125,0.0,0.0,5.0,1228.02,7.113158395219413,5.7,70.23,0.7521027272727273
Manitoba,3,2023-06-01,22,,155.4,Non-alcoholic beverages,3,0,111.37872314453125,0.0,0.0,5.0,1091.9,6.99567457702002,4.1,70.23,0.7521027272727273
Saskatchewan,10,2023-06-01,22,,173.1,Non-alcoholic beverages,10,0,111.37872314453125,0.0,0.0,5.0,1164.86,7.060356187104787,4.3,70.23,0.7521027272727273
Alberta,1,2023-06-01,22,,179.2,Non-alcoholic beverages,1,0,111.37872314453125,0.0,0.0,5.0,1281.12,7.155489974324324,5.5,70.23,0.7521027272727273
British Columbia,2,2023-06-01,22,,164.9,Non-alcoholic beverages,2,0,111.37872314453125,0.0,0.0,5.0,1205.24,7.094433996217501,5.4,70.23,0.7521027272727273
Newfoundland and Labrador,5,2023-07-01,23,13.0,137.0,Non-alcoholic beverages,5,1,106.8144302368164,0.0,0.0,5.25,1204.77,7.094043956337202,8.1,76.39,0.756371
Prince Edward Island,8,2023-07-01,23,,138.6,Non-alcoholic beverages,8,0,106.8144302368164,0.0,0.0,5.25,1028.87,6.936216391604169,7.1,76.39,0.756371
Nova Scotia,6,2023-07-01,23,,175.4,Non-alcoholic beverages,6,0,106.8144302368164,0.0,0.0,5.25,1069.31,6.974768859631348,7.7,76.39,0.756371
New Brunswick,4,2023-07-01,23,,162.5,Non-alcoholic beverages,4,0,106.8144302368164,0.0,0.0,5.25,1101.58,7.004500791839321,6.2,76.39,0.756371
Quebec,9,2023-07-01,23,,162.9,Non-alcoholic beverages,9,0,106.8144302368164,0.0,0.0,5.25,1161.44,7.057415893536531,4.7,76.39,0.756371
Ontario,7,2023-07-01,23,,155.0,Non-alcoholic beverages,7,0,106.8144302368164,0.0,0.0,5.25,1243.12,7.125379627478479,6.3,76.39,0.756371
Manitoba,3,2023-07-01,23,,155.1,Non-alcoholic beverages,3,0,106.8144302368164,0.0,0.0,5.25,1102.27,7.005126968777448,5.7,76.39,0.756371
Saskatchewan,10,2023-07-01,23,,172.2,Non-alcoholic beverages,10,0,106.8144302368164,0.0,0.0,5.25,1174.29,7.068418988623288,5.3,76.39,0.756371
Alberta,1,2023-07-01,23,,178.6,Non-alcoholic beverages,1,0,106.8144302368164,0.0,0.0,5.25,1292.17,7.164078254634165,6.4,76.39,0.756371
British Columbia,2,2023-07-01,23,,170.0,Non-alcoholic beverages,2,0,106.8144302368164,0.0,0.0,5.25,1229.39,7.114273390390698,6.0,76.39,0.756371
Newfoundland and Labrador,5,2023-08-01,24,13.0,140.8,Non-alcoholic beverages,5,1,101.8592758178711,0.0,0.0,5.25,1205.94,7.0950146248057155,8.0,81.4,0.7427195652173914
Prince Edward Island,8,2023-08-01,24,,145.8,Non-alcoholic beverages,8,0,101.8592758178711,0.0,0.0,5.25,1049.55,6.956116779860015,6.5,81.4,0.7427195652173914
Nova Scotia,6,2023-08-01,24,,182.1,Non-alcoholic beverages,6,0,101.8592758178711,0.0,0.0,5.25,1073.55,6.978726192852716,7.5,81.4,0.7427195652173914
New Brunswick,4,2023-08-01,24,,166.8,Non-alcoholic beverages,4,0,101.8592758178711,0.0,0.0,5.25,1119.33,7.020485571001869,7.8,81.4,0.7427195652173914
Quebec,9,2023-08-01,24,,164.8,Non-alcoholic beverages,9,0,101.8592758178711,0.0,0.0,5.25,1165.75,7.06111993568843,5.0,81.4,0.7427195652173914
Ontario,7,2023-08-01,24,,158.8,Non-alcoholic beverages,7,0,101.8592758178711,0.0,0.0,5.25,1242.79,7.125114131139561,6.9,81.4,0.7427195652173914
Manitoba,3,2023-08-01,24,,158.7,Non-alcoholic beverages,3,0,101.8592758178711,0.0,0.0,5.25,1108.51,7.010772050215495,7.0,81.4,0.7427195652173914
Saskatchewan,10,2023-08-01,24,,176.6,Non-alcoholic beverages,10,0,101.8592758178711,0.0,0.0,5.25,1167.83,7.062902604849837,6.2,81.4,0.7427195652173914
Alberta,1,2023-08-01,24,,182.8,Non-alcoholic beverages,1,0,101.8592758178711,0.0,0.0,5.25,1289.15,7.161738365447318,6.1,81.4,0.7427195652173914
British Columbia,2,2023-08-01,24,,170.1,Non-alcoholic beverages,2,0,101.8592758178711,0.0,0.0,5.25,1225.52,7.11112052270444,6.0,81.4,0.7427195652173914
Newfoundland and Labrador,5,2023-09-01,25,13.0,145.7,Non-alcoholic beverages,5,1,98.8185806274414,0.0,0.0,5.25,1214.37,7.101980702778915,8.4,89.58,0.7385884285714285
Prince Edward Island,8,2023-09-01,25,,146.5,Non-alcoholic beverages,8,0,98.8185806274414,0.0,0.0,5.25,1029.83,6.9371490190579825,4.6,89.58,0.7385884285714285
Nova Scotia,6,2023-09-01,25,,185.4,Non-alcoholic beverages,6,0,98.8185806274414,0.0,0.0,5.25,1082.91,6.987407141054712,6.4,89.58,0.7385884285714285
New Brunswick,4,2023-09-01,25,,169.5,Non-alcoholic beverages,4,0,98.8185806274414,0.0,0.0,5.25,1126.42,7.026799740927966,6.3,89.58,0.7385884285714285
Quebec,9,2023-09-01,25,,165.3,Non-alcoholic beverages,9,0,98.8185806274414,0.0,0.0,5.25,1172.62,7.066995840499278,4.0,89.58,0.7385884285714285
Ontario,7,2023-09-01,25,,161.6,Non-alcoholic beverages,7,0,98.8185806274414,0.0,0.0,5.25,1242.99,7.125275046426057,5.9,89.58,0.7385884285714285
Manitoba,3,2023-09-01,25,,163.4,Non-alcoholic beverages,3,0,98.8185806274414,0.0,0.0,5.25,1115.9,7.017416533191656,4.6,89.58,0.7385884285714285
Saskatchewan,10,2023-09-01,25,,179.4,Non-alcoholic beverages,10,0,98.8185806274414,0.0,0.0,5.25,1185.18,7.077649940767964,4.2,89.58,0.7385884285714285
Alberta,1,2023-09-01,25,,185.4,Non-alcoholic beverages,1,0,98.8185806274414,0.0,0.0,5.25,1290.35,7.162668778385149,5.3,89.58,0.7385884285714285
British Columbia,2,2023-09-01,25,,174.2,Non-alcoholic beverages,2,0,98.8185806274414,0.0,0.0,5.25,1238.83,7.12192266479,4.9,89.58,0.7385884285714285
Newfoundland and Labrador,5,2023-10-01,26,13.0,147.1,Non-alcoholic beverages,5,1,196.739501953125,0.0,0.0,5.25,1218.82,7.105638456560115,8.9,85.57,0.7302054090909091
Prince Edward Island,8,2023-10-01,26,,150.4,Non-alcoholic beverages,8,0,196.739501953125,0.0,0.0,5.25,1033.68,6.940880529413965,5.1,85.57,0.7302054090909091
Nova Scotia,6,2023-10-01,26,,187.4,Non-alcoholic beverages,6,0,196.739501953125,0.0,0.0,5.25,1088.24,6.992316991325175,6.1,85.57,0.7302054090909091
New Brunswick,4,2023-10-01,26,,172.7,Non-alcoholic beverages,4,0,196.739501953125,0.0,0.0,5.25,1110.58,7.0126376803615456,5.5,85.57,0.7302054090909091
Quebec,9,2023-10-01,26,,171.5,Non-alcoholic beverages,9,0,196.739501953125,0.0,0.0,5.25,1176.15,7.07000167134504,4.6,85.57,0.7302054090909091
Ontario,7,2023-10-01,26,,161.8,Non-alcoholic beverages,7,0,196.739501953125,0.0,0.0,5.25,1245.56,7.12734050696626,5.9,85.57,0.7302054090909091
Manitoba,3,2023-10-01,26,,161.9,Non-alcoholic beverages,3,0,196.739501953125,0.0,0.0,5.25,1121.83,7.022716559451546,4.5,85.57,0.7302054090909091
Saskatchewan,10,2023-10-01,26,,178.9,Non-alcoholic beverages,10,0,196.739501953125,0.0,0.0,5.25,1167.23,7.062388699414255,3.7,85.57,0.7302054090909091
Alberta,1,2023-10-01,26,,183.4,Non-alcoholic beverages,1,0,196.739501953125,0.0,0.0,5.25,1293.36,7.164998762293351,5.1,85.57,0.7302054090909091
British Columbia,2,2023-10-01,26,,170.2,Non-alcoholic beverages,2,0,196.739501953125,0.0,0.0,5.25,1232.72,7.116978388973598,4.8,85.57,0.7302054090909091
Newfoundland and Labrador,5,2023-11-01,27,13.0,137.2,Non-alcoholic beverages,5,1,153.76541137695312,0.0,0.0,5.25,1219.7,7.106360205849192,9.4,77.43,0.7288818181818182
Prince Edward Island,8,2023-11-01,27,,140.2,Non-alcoholic beverages,8,0,153.76541137695312,0.0,0.0,5.25,1027.14,6.934533520014742,8.1,77.43,0.7288818181818182
Nova Scotia,6,2023-11-01,27,,175.5,Non-alcoholic beverages,6,0,153.76541137695312,0.0,0.0,5.25,1095.82,6.999258220443508,6.4,77.43,0.7288818181818182
New Brunswick,4,2023-11-01,27,,162.6,Non-alcoholic beverages,4,0,153.76541137695312,0.0,0.0,5.25,1115.62,7.0171655831652435,6.3,77.43,0.7288818181818182
Quebec,9,2023-11-01,27,,164.9,Non-alcoholic beverages,9,0,153.76541137695312,0.0,0.0,5.25,1186.22,7.078527059825632,4.9,77.43,0.7288818181818182
Ontario,7,2023-11-01,27,,157.0,Non-alcoholic beverages,7,0,153.76541137695312,0.0,0.0,5.25,1246.38,7.127998628774648,5.5,77.43,0.7288818181818182
Manitoba,3,2023-11-01,27,,154.1,Non-alcoholic beverages,3,0,153.76541137695312,0.0,0.0,5.25,1134.91,7.034308631617291,4.4,77.43,0.7288818181818182
Saskatchewan,10,2023-11-01,27,,170.0,Non-alcoholic beverages,10,0,153.76541137695312,0.0,0.0,5.25,1171.04,7.065647521852917,4.6,77.43,0.7288818181818182
Alberta,1,2023-11-01,27,,175.9,Non-alcoholic beverages,1,0,153.76541137695312,0.0,0.0,5.25,1301.03,7.170911537431889,5.7,77.43,0.7288818181818182
British Columbia,2,2023-11-01,27,,166.9,Non-alcoholic beverages,2,0,153.76541137695312,0.0,0.0,5.25,1237.5,7.120848494442845,5.0,77.43,0.7288818181818182
